STUDENTID,GENDER,FJOB,MJOB,GRADE
STUDENT1,2,3,3.0,0
STUDENT2,2,4,4.0,4
STUDENT3,2,3,3.0,0
STUDENT4,1,4,3.0,2
STUDENT5,1,3,3.0,3
STUDENT6,2,4,3.0,2
STUDENT7,1,2,4.0,4
STUDENT8,2,3,3.0,0
STUDENT9,1,3,3.0,4
STUDENT10,1,4,5.0,4
STUDENT11,1,4,3.0,4
STUDENT12,1,3,3.0,3
STUDENT13,1,3,5.0,0
STUDENT14,1,4,5.0,1
STUDENT15,1,3,3.0,2
STUDENT16,1,4,3.0,0
STUDENT17,1,3,3.0,1
STUDENT18,1,5,3.0,5
STUDENT19,1,3,4.0,2
STUDENT20,1,4,4.0,4
STUDENT21,1,3,3.0,0
STUDENT22,1,4,5.0,1
STUDENT23,1,2,2.0,3
STUDENT24,1,4,5.0,2
STUDENT25,1,4,4.0,4
STUDENT26,1,3,3.0,1
STUDENT27,1,3,4.0,3
STUDENT28,1,4,4.0,3
STUDENT29,1,3,3.0,2
STUDENT30,2,2,2.0,4
STUDENT31,2,3,5.0,1
STUDENT32,2,3,2.0,3
STUDENT33,2,4,5.0,4
STUDENT34,1,3,3.0,4
STUDENT35,2,3,4.0,3
STUDENT36,2,4,3.0,0
STUDENT37,2,5,5.0,0
STUDENT38,1,4,4.0,2
STUDENT39,1,4,3.0,2
STUDENT40,1,4,4.0,2
STUDENT41,1,3,3.0,0
STUDENT42,1,4,3.0,5
STUDENT43,1,3,3.0,4
STUDENT44,1,3,3.0,4
STUDENT45,1,3,3.0,0
STUDENT46,1,3,5.0,4
STUDENT47,1,3,3.0,3
STUDENT48,1,4,4.0,4
STUDENT49,1,3,3.0,3
STUDENT50,1,3,3.0,3
STUDENT51,1,4,3.0,4
STUDENT52,1,4,4.0,2
STUDENT53,1,4,4.0,1
STUDENT54,1,5,5.0,5
STUDENT55,1,3,3.0,1
STUDENT56,1,3,3.0,4
STUDENT57,1,4,5.0,0
STUDENT58,1,3,3.0,3
STUDENT59,1,2,4.0,5
STUDENT60,1,3,5.0,0
STUDENT61,1,3,3.0,2
STUDENT62,1,3,3.0,2
STUDENT63,2,4,5.0,0
STUDENT64,2,5,4.0,0
STUDENT65,2,4,4.0,0
STUDENT66,2,3,3.0,1
STUDENT67,2,4,3.0,0
STUDENT68,2,3,3.0,2
STUDENT69,2,4,4.0,1
STUDENT70,2,2,4.0,1
STUDENT71,2,3,3.0,0
STUDENT72,2,5,3.0,4
STUDENT73,2,2,3.0,0
STUDENT74,2,4,3.0,2
STUDENT75,2,3,3.0,2
STUDENT76,2,4,5.0,1
STUDENT77,2,4,4.0,1
STUDENT78,2,3,3.0,3
STUDENT79,2,3,3.0,5
STUDENT80,2,4,3.0,2
STUDENT81,2,3,3.0,2
STUDENT82,2,3,3.0,0
STUDENT83,2,3,5.0,3
STUDENT84,2,5,5.0,1
STUDENT85,1,4,3.0,1
STUDENT86,1,4,3.0,3
STUDENT87,1,3,5.0,2
STUDENT88,2,5,5.0,1
STUDENT89,2,3,3.0,4
STUDENT90,2,4,3.0,0
STUDENT91,2,2,5.0,0
STUDENT92,1,3,3.0,4
STUDENT93,1,5,5.0,0
STUDENT94,1,5,5.0,0
STUDENT95,1,3,3.0,2
STUDENT96,2,3,3.0,3
STUDENT97,1,3,3.0,3
STUDENT98,1,4,4.0,4
STUDENT99,1,2,3.0,4
STUDENT100,1,3,3.0,0
STUDENT101,1,3,3.0,3
STUDENT102,1,2,3.0,0
STUDENT103,1,3,4.0,0
STUDENT104,1,4,3.0,4
STUDENT105,1,4,3.0,0
STUDENT106,1,3,3.0,2
STUDENT107,1,4,5.0,0
STUDENT108,1,5,5.0,3
STUDENT109,1,4,5.0,2
STUDENT110,1,4,3.0,3
STUDENT111,1,4,4.0,5
STUDENT112,1,4,5.0,1
STUDENT113,1,3,3.0,3
STUDENT114,1,4,5.0,3
