MOTHER_JOB,FATHER_JOB,GENDER,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),GRADE
6,10,1,0,0,0
4,4,1,14,13.66666667,14
10,10,1,0,0,0
6,4,0,13.42857143,12.4,13
10,10,0,12.33333333,13,13
10,8,1,11.85714286,11.5,12
8,11,0,13.3,14.345,14
10,10,1,0,0,0
10,10,0,13.875,14.14285714,14
5,8,0,11.4,13.5,12
6,8,0,12.33333333,14.2,13
10,10,0,13.21428571,13.21428571,13
5,10,0,0,0,0
5,8,0,10.57142857,11,11
6,6,0,13.25,12,13
10,4,0,13.2,0,7
6,9,0,12,11,12
6,5,0,13.30625,14.545,14
4,6,0,12.5,12.25,12
8,8,0,11.66666667,13.5,13
10,9,0,0,0,0
5,8,0,11.4375,11.425,11
2,2,0,12.85714286,12.85714286,13
5,8,0,13.375,12.28571429,13
4,8,0,13.29666667,14.11428571,14
10,10,0,11.6,11,11
8,9,0,11.375,13.28571429,12
4,4,0,12.66666667,13,13
10,10,0,12,12.33333333,12
2,11,1,12.93333333,13.71666667,13
5,3,1,11.85714286,10.57142857,11
16,22,1,12.83333333,13.4,13
5,7,1,11.33333333,13.5,12
10,6,0,12.66666667,14.375,14
4,10,1,12.4,13.42857143,13
10,7,1,0,10,5
1,1,1,0,0,0
7,7,0,10,12,11
10,4,0,11,11.6,11
4,7,0,11.66666667,12,12
3,3,0,12.75,0,6
3,8,0,14.8,15.8,15
3,3,0,13.928,14.34285714,14
6,6,0,13,13.8,13
10,10,0,0,0,0
5,6,0,11.5,14.33333333,13
10,10,0,11.66666667,13.2,12
8,8,0,13.51666667,13.77142857,14
10,10,0,11.5,13.28571429,12
10,10,0,12.33333333,12.83333333,13
10,8,0,13.66666667,14.16666667,14
7,7,0,11.83333333,11.83333333,12
8,8,0,14,11,13
12,12,0,14.71428571,15.8,15
10,10,0,10.6,11,11
6,6,0,13.04444444,13.595,13
5,4,0,0,0,0
3,3,0,13,12.9,13
8,11,0,14.935,14.935,15
5,10,0,0,0,0
10,10,0,13.13333333,12.22142857,13
10,10,0,12,12,12
5,8,1,0,0,0
4,5,1,11.4,10,11
4,4,1,0,0,0
6,6,1,11.9,11,11
6,4,1,0,0,0
10,10,1,12.57142857,12.42857143,13
8,8,1,11.2,10.75,11
8,11,1,12,10.8,11
6,6,1,0,0,0
9,5,1,11.975,13.75,13
6,11,1,0,0,0
6,8,1,11.66666667,12,12
10,10,1,12.33333333,12.33333333,12
5,8,1,10.33333333,10.85714286,11
8,8,1,10.5,11,11
10,9,1,13.66666667,13.33333333,14
10,10,1,14.84285714,15.05555556,15
10,7,1,12,11.66666667,12
10,10,1,12.2,12.2,12
3,3,1,0,0,0
5,3,1,12.16666667,13.3,13
5,5,1,12,11.33333333,12
10,7,0,11,11,11
10,8,0,13.08,13.08,13
5,6,0,10.5,11.6,11
5,1,1,10.66666667,11.2,11
10,10,1,14,13.8,14
10,7,1,10,0,5
5,11,1,0,0,0
10,10,0,14,13.5,14
5,5,0,12,0,6
1,1,0,12.66666667,0,6
10,10,0,11.875,12.33333333,12
10,3,1,14,13.25,14
6,6,0,13.66666667,13.33333333,14
8,8,0,13.75,14.47777778,14
10,2,0,14.2,13.8,14
3,3,0,11.96,0,6
10,10,0,12.875,13.4,13
10,11,0,0,0,0
7,6,0,0,0,0
10,7,0,14.63157895,14.23076923,14
10,8,0,0,0,0
3,9,0,13,12.27272727,13
5,8,0,0,0,0
5,5,0,14.2,13.25,14
5,4,0,13.26666667,12.3,13
10,4,0,11.66666667,13,12
7,8,0,13.85714286,15,14
5,8,0,13,11,12
10,10,0,13.4,12.8,13
5,8,0,12.66666667,12.57142857,13
10,10,0,12.51666667,12.51666667,13
10,6,0,11.61666667,13,12
10,8,0,10,10.75,10
4,4,0,10.33333333,10.66666667,11
10,8,0,13.14285714,11.4,12
5,6,0,12.6,14,13
5,6,0,11,11,11
10,8,0,10.8,11.25,11
3,10,0,0,0,0
10,10,0,12.8,14.2,14
5,8,0,14.16666667,12.2,13
5,6,0,12.1,0,6
10,10,0,14.16666667,13.77777778,14
10,4,0,12.8,13.4,13
6,4,0,13,13.66666667,13
9,10,0,13.46714286,15.01111111,14
6,9,0,13.2375,13.74285714,13
10,10,0,12.33333333,13,13
5,9,0,12.4,14.6,14
4,4,0,14,0,7
10,8,0,11.66666667,11.71428571,12
4,10,0,12,12.5,12
6,6,0,12.2,11.5,12
20,39,0,14.83333333,14.83333333,15
5,8,0,13.188,12.89285714,13
5,9,0,17.125,17.5875,17
10,10,0,12.66666667,12.66666667,13
5,5,0,12.66666667,12,12
4,4,0,0,0,0
10,11,0,11.33333333,11.5,11
10,8,0,13.605,12.33125,13
6,7,0,12,10.8,11
10,10,0,0,0,0
10,11,0,11.2,11.66666667,11
3,11,0,13.375,14.16666667,14
10,10,0,13.86333333,14.17857143,14
3,9,0,0,0,0
5,8,0,12.4,13.4,13
8,7,0,12.33333333,10.83333333,12
10,10,0,13.33333333,11.8,13
3,6,0,12.66666667,10,11
7,7,0,12,11.5,12
10,10,0,10.6,11.8,11
8,10,0,12.25,11.85714286,12
10,11,0,11,11.83333333,11
7,9,0,11,12.6,12
5,2,0,13.16666667,13,13
10,8,0,12.85555556,12.76111111,13
10,10,0,14.91875,15.355,15
5,5,0,11.5,11,11
6,5,0,14.2,14.2,14
8,8,0,12.5,13,13
7,7,0,0,0,0
8,9,0,11.66666667,11,11
2,2,0,14.25714286,14.25714286,14
5,9,0,12,11.33333333,12
10,8,0,11.25,10.5,11
4,11,0,12.45714286,13.5625,13
5,6,0,11.68333333,11.68333333,12
5,7,0,11.66666667,12,12
10,9,0,11.75,13.16666667,12
10,10,0,11.66666667,13.5,13
10,6,0,13.2,12,13
12,12,0,11.95,11.95,12
10,6,0,12.4,10.4,11
10,6,0,14.35,14.58333333,14
4,4,0,12.61904762,12.78947368,13
10,9,0,12.66666667,13.16666667,13
4,5,0,12,0,6
6,6,0,12.16666667,0,6
5,7,0,0,0,0
6,8,0,10,10.57142857,10
6,10,0,11.5,10,11
10,5,0,13.05,13.05,13
10,10,0,11,0,6
5,2,0,11.5,12,12
10,9,0,12,12.5,12
8,4,0,10,10,10
5,4,0,0,0,0
5,11,0,0,0,0
10,9,0,12.24285714,12.24285714,12
4,5,0,0,0,0
6,6,0,12.93375,12.93375,13
3,3,0,0,0,0
4,9,0,12.57142857,14.42857143,14
28,19,0,11.81666667,11.33333333,12
5,8,0,13.75,14.33333333,14
5,1,0,11.16666667,11.33333333,11
8,8,0,12.32428571,12.32428571,12
6,11,0,12.16666667,11.71428571,12
10,9,0,11.14285714,11.25,11
1,1,0,11,10.75,11
10,10,0,12.91428571,12.91428571,13
2,5,0,13.83333333,14.16666667,14
9,8,0,13.85714286,13.4,14
3,4,0,13.71428571,12.8,13
8,5,0,12.64285714,12.64285714,13
10,10,0,12.91666667,12.91666667,13
10,3,0,15.625,15.85714286,16
10,10,0,0,0,0
5,6,0,11.71428571,12,12
5,6,0,12.125,13.3125,13
6,6,0,11.6,11.6,12
9,8,0,10,0,5
6,5,0,10,0,5
2,4,0,0,13.5,7
8,8,0,13,12.33333333,13
6,8,0,13.33333333,14.5,14
4,4,0,11.25,12.5,12
6,10,0,13.85,12.19285714,13
5,6,0,13.74166667,14.9125,14
4,4,0,15.33333333,15.8,16
4,11,0,11,13.8,12
10,10,0,12,12.85714286,12
1,1,0,0,0,0
6,9,0,11.57142857,11.57142857,12
5,6,0,12.85714286,12.66666667,13
5,7,0,0,0,0
5,4,0,13,13.2,13
10,10,0,11,12,12
10,11,0,12,15,14
10,10,0,12.6,13,13
6,8,0,13.4,13.16666667,13
4,10,0,11.33333333,11.57142857,11
10,10,0,13.5,14.25,14
10,8,0,11.75,10.33333333,11
5,5,0,12.47142857,11.4625,12
4,4,0,12.90909091,13.55555556,13
6,6,0,11.6,13.6,13
10,2,0,0,0,0
10,11,0,12.9,12.36363636,13
6,4,0,13.22,13.22,13
8,7,0,13.15142857,13.15142857,13
10,11,0,12.75,11.33333333,12
5,8,0,11.33333333,12.25,12
10,9,0,13.25,14.14285714,14
10,10,0,12.4,12.4,12
8,8,0,15,12.83333333,14
12,7,0,14.4,13,14
10,9,0,11,0,6
5,5,0,12.4,10.8,12
8,8,0,16,0,8
7,7,0,13.57142857,12.33333333,13
10,10,0,11.83333333,12.5,12
10,9,0,11.66666667,12.66666667,12
4,2,0,11.83333333,13,12
10,8,0,11.16666667,10.6,11
13,13,0,0,0,0
10,10,0,11.75,12.16666667,12
5,5,0,14,14,14
10,6,0,12.83333333,12,12
2,4,0,12.25,11.66666667,12
3,4,0,14.82857143,14.82857143,15
10,10,0,11.4,12.8,12
10,10,0,13,12.5,13
10,10,0,13.67142857,13.67142857,14
5,9,0,12.66666667,12.8,13
10,10,0,10,13,12
5,9,0,13.5,12.33333333,13
3,6,0,12.67,13.55,13
5,6,0,14.5,15.42857143,15
5,11,0,13.68571429,15.3875,15
4,4,0,11,10.66666667,11
3,1,0,11.55555556,13.2,12
6,7,0,13.79714286,13.775,14
6,6,0,14.00375,13.81285714,14
10,10,0,12,11.4,12
5,11,0,14.16666667,14.16666667,14
9,5,0,14,13.8,14
8,6,0,13.8,12.83333333,13
1,1,0,12.8,11.85714286,12
5,5,0,12.16666667,13.83333333,13
3,10,0,12.5,12.33333333,12
12,3,0,12,11.5,12
4,5,0,10.83333333,11.5,11
2,2,0,13.385,13.385,13
