,MOTHER_JOB,FATHER_JOB,GENDER,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),GRADE
0,5,5,1,0.0,0.0,0
1,4,4,1,14.0,13.66666667,14
2,5,5,1,0.0,0.0,0
3,5,4,0,13.42857143,12.4,13
4,5,5,0,12.33333333,13.0,13
5,5,5,1,11.85714286,11.5,12
6,5,5,0,13.3,14.345,14
7,5,5,1,0.0,0.0,0
8,5,5,0,13.875,14.14285714,14
9,5,5,0,11.4,13.5,12
10,5,5,0,12.33333333,14.2,13
11,5,5,0,13.21428571,13.21428571,13
12,5,5,0,0.0,0.0,0
13,5,5,0,10.57142857,11.0,11
14,5,5,0,13.25,12.0,13
15,5,4,0,13.2,0.0,7
16,5,5,0,12.0,11.0,12
17,5,5,0,13.30625,14.545,14
18,4,5,0,12.5,12.25,12
19,5,5,0,11.66666667,13.5,13
20,5,5,0,0.0,0.0,0
21,5,5,0,11.4375,11.425,11
22,2,2,0,12.85714286,12.85714286,13
23,5,5,0,13.375,12.28571429,13
24,4,5,0,13.29666667,14.11428571,14
25,5,5,0,11.6,11.0,11
26,5,5,0,11.375,13.28571429,12
27,4,4,0,12.66666667,13.0,13
28,5,5,0,12.0,12.33333333,12
29,2,5,1,12.93333333,13.71666667,13
30,5,3,1,11.85714286,10.57142857,11
31,5,5,1,12.83333333,13.4,13
32,5,5,1,11.33333333,13.5,12
33,5,5,0,12.66666667,14.375,14
34,4,5,1,12.4,13.42857143,13
35,5,5,1,0.0,10.0,5
36,1,1,1,0.0,0.0,0
37,5,5,0,10.0,12.0,11
38,5,4,0,11.0,11.6,11
39,4,5,0,11.66666667,12.0,12
40,3,3,0,12.75,0.0,6
41,3,5,0,14.8,15.8,15
42,3,3,0,13.928,14.34285714,14
43,5,5,0,13.0,13.8,13
44,5,5,0,0.0,0.0,0
45,5,5,0,11.5,14.33333333,13
46,5,5,0,11.66666667,13.2,12
47,5,5,0,13.51666667,13.77142857,14
48,5,5,0,11.5,13.28571429,12
49,5,5,0,12.33333333,12.83333333,13
50,5,5,0,13.66666667,14.16666667,14
51,5,5,0,11.83333333,11.83333333,12
52,5,5,0,14.0,11.0,13
53,5,5,0,14.71428571,15.8,15
54,5,5,0,10.6,11.0,11
55,5,5,0,13.04444444,13.595,13
56,5,4,0,0.0,0.0,0
57,3,3,0,13.0,12.9,13
58,5,5,0,14.935,14.935,15
59,5,5,0,0.0,0.0,0
60,5,5,0,13.13333333,12.22142857,13
61,5,5,0,12.0,12.0,12
62,5,5,1,0.0,0.0,0
63,4,5,1,11.4,10.0,11
64,4,4,1,0.0,0.0,0
65,5,5,1,11.9,11.0,11
66,5,4,1,0.0,0.0,0
67,5,5,1,12.57142857,12.42857143,13
68,5,5,1,11.2,10.75,11
69,5,5,1,12.0,10.8,11
70,5,5,1,0.0,0.0,0
71,5,5,1,11.975,13.75,13
72,5,5,1,0.0,0.0,0
73,5,5,1,11.66666667,12.0,12
74,5,5,1,12.33333333,12.33333333,12
75,5,5,1,10.33333333,10.85714286,11
76,5,5,1,10.5,11.0,11
77,5,5,1,13.66666667,13.33333333,14
78,5,5,1,14.84285714,15.05555556,15
79,5,5,1,12.0,11.66666667,12
80,5,5,1,12.2,12.2,12
81,3,3,1,0.0,0.0,0
82,5,3,1,12.16666667,13.3,13
83,5,5,1,12.0,11.33333333,12
84,5,5,0,11.0,11.0,11
85,5,5,0,13.08,13.08,13
86,5,5,0,10.5,11.6,11
87,5,1,1,10.66666667,11.2,11
88,5,5,1,14.0,13.8,14
89,5,5,1,10.0,0.0,5
90,5,5,1,0.0,0.0,0
91,5,5,0,14.0,13.5,14
92,5,5,0,12.0,0.0,6
93,1,1,0,12.66666667,0.0,6
94,5,5,0,11.875,12.33333333,12
95,5,3,1,14.0,13.25,14
96,5,5,0,13.66666667,13.33333333,14
97,5,5,0,13.75,14.47777778,14
98,5,2,0,14.2,13.8,14
99,3,3,0,11.96,0.0,6
100,5,5,0,12.875,13.4,13
101,5,5,0,0.0,0.0,0
102,5,5,0,0.0,0.0,0
103,5,5,0,14.63157895,14.23076923,14
104,5,5,0,0.0,0.0,0
105,3,5,0,13.0,12.27272727,13
106,5,5,0,0.0,0.0,0
107,5,5,0,14.2,13.25,14
108,5,4,0,13.26666667,12.3,13
109,5,4,0,11.66666667,13.0,12
110,5,5,0,13.85714286,15.0,14
111,5,5,0,13.0,11.0,12
112,5,5,0,13.4,12.8,13
113,5,5,0,12.66666667,12.57142857,13
114,5,5,0,12.51666667,12.51666667,13
115,5,5,0,11.61666667,13.0,12
116,5,5,0,10.0,10.75,10
117,4,4,0,10.33333333,10.66666667,11
118,5,5,0,13.14285714,11.4,12
119,5,5,0,12.6,14.0,13
120,5,5,0,11.0,11.0,11
121,5,5,0,10.8,11.25,11
122,3,5,0,0.0,0.0,0
123,5,5,0,12.8,14.2,14
124,5,5,0,14.16666667,12.2,13
125,5,5,0,12.1,0.0,6
126,5,5,0,14.16666667,13.77777778,14
127,5,4,0,12.8,13.4,13
128,5,4,0,13.0,13.66666667,13
129,5,5,0,13.46714286,15.01111111,14
130,5,5,0,13.2375,13.74285714,13
131,5,5,0,12.33333333,13.0,13
132,5,5,0,12.4,14.6,14
133,4,4,0,14.0,0.0,7
134,5,5,0,11.66666667,11.71428571,12
135,4,5,0,12.0,12.5,12
136,5,5,0,12.2,11.5,12
137,5,5,0,14.83333333,14.83333333,15
138,5,5,0,13.188,12.89285714,13
139,5,5,0,17.125,17.5875,17
140,5,5,0,12.66666667,12.66666667,13
141,5,5,0,12.66666667,12.0,12
142,4,4,0,0.0,0.0,0
143,5,5,0,11.33333333,11.5,11
144,5,5,0,13.605,12.33125,13
145,5,5,0,12.0,10.8,11
146,5,5,0,0.0,0.0,0
147,5,5,0,11.2,11.66666667,11
148,3,5,0,13.375,14.16666667,14
149,5,5,0,13.86333333,14.17857143,14
150,3,5,0,0.0,0.0,0
151,5,5,0,12.4,13.4,13
152,5,5,0,12.33333333,10.83333333,12
153,5,5,0,13.33333333,11.8,13
154,3,5,0,12.66666667,10.0,11
155,5,5,0,12.0,11.5,12
156,5,5,0,10.6,11.8,11
157,5,5,0,12.25,11.85714286,12
158,5,5,0,11.0,11.83333333,11
159,5,5,0,11.0,12.6,12
160,5,2,0,13.16666667,13.0,13
161,5,5,0,12.85555556,12.76111111,13
162,5,5,0,14.91875,15.355,15
163,5,5,0,11.5,11.0,11
164,5,5,0,14.2,14.2,14
165,5,5,0,12.5,13.0,13
166,5,5,0,0.0,0.0,0
167,5,5,0,11.66666667,11.0,11
168,2,2,0,14.25714286,14.25714286,14
169,5,5,0,12.0,11.33333333,12
170,5,5,0,11.25,10.5,11
171,4,5,0,12.45714286,13.5625,13
172,5,5,0,11.68333333,11.68333333,12
173,5,5,0,11.66666667,12.0,12
174,5,5,0,11.75,13.16666667,12
175,5,5,0,11.66666667,13.5,13
176,5,5,0,13.2,12.0,13
177,5,5,0,11.95,11.95,12
178,5,5,0,12.4,10.4,11
179,5,5,0,14.35,14.58333333,14
180,4,4,0,12.61904762,12.78947368,13
181,5,5,0,12.66666667,13.16666667,13
182,4,5,0,12.0,0.0,6
183,5,5,0,12.16666667,0.0,6
184,5,5,0,0.0,0.0,0
185,5,5,0,10.0,10.57142857,10
186,5,5,0,11.5,10.0,11
187,5,5,0,13.05,13.05,13
188,5,5,0,11.0,0.0,6
