STUDENTID,GENDER,MJOB,FJOB,GRADE
STUDENT2,F,at_home,teacher,6
STUDENT3,F,at_home,other,6
STUDENT4,F,at_home,other,10
STUDENT5,F,health,services,15
STUDENT6,F,other,other,10
STUDENT7,M,services,other,15
STUDENT8,M,other,other,11
STUDENT9,F,other,teacher,6
STUDENT10,M,services,other,19
STUDENT11,M,other,other,15
STUDENT12,F,teacher,health,9
STUDENT13,F,services,other,12
STUDENT14,M,health,services,14
STUDENT15,M,teacher,other,11
STUDENT16,M,other,other,16
STUDENT17,F,health,other,14
STUDENT18,F,services,services,14
STUDENT19,F,other,other,10
STUDENT20,M,services,services,5
STUDENT21,M,health,other,10
STUDENT22,M,teacher,other,15
STUDENT23,M,health,health,15
STUDENT24,M,teacher,other,16
STUDENT25,M,other,other,12
STUDENT26,F,services,health,8
STUDENT27,F,services,services,8
STUDENT28,M,other,other,11
STUDENT29,M,health,services,15
STUDENT30,M,services,other,11
STUDENT31,M,teacher,teacher,11
STUDENT32,M,health,services,12
STUDENT33,M,services,services,17
STUDENT34,M,teacher,at_home,16
STUDENT35,M,other,other,12
STUDENT36,M,other,other,15
STUDENT37,F,other,other,6
STUDENT38,M,teacher,services,18
STUDENT39,M,other,teacher,15
STUDENT40,F,services,health,11
STUDENT41,F,at_home,other,13
STUDENT42,F,other,other,11
STUDENT43,M,teacher,other,12
STUDENT44,M,services,teacher,18
STUDENT45,M,services,services,11
STUDENT46,F,other,at_home,9
STUDENT47,F,other,other,6
STUDENT48,F,other,services,11
STUDENT49,M,health,services,20
STUDENT50,M,teacher,other,14
STUDENT51,F,services,teacher,7
STUDENT52,F,services,services,13
STUDENT53,F,health,other,13
STUDENT54,M,health,health,10
STUDENT55,F,services,services,11
STUDENT56,F,other,other,13
STUDENT57,F,other,other,10
STUDENT58,F,services,services,15
STUDENT59,M,teacher,health,15
STUDENT60,M,other,at_home,9
STUDENT61,F,services,other,16
STUDENT62,F,health,teacher,11
STUDENT63,F,services,services,11
STUDENT64,F,other,services,9
STUDENT65,F,teacher,health,9
STUDENT66,F,services,services,10
STUDENT67,F,teacher,services,15
STUDENT68,M,other,services,12
STUDENT69,F,services,other,6
STUDENT70,F,health,services,8
STUDENT71,F,other,other,16
STUDENT72,M,other,other,15
STUDENT73,M,other,other,10
STUDENT74,F,other,other,5
STUDENT75,M,other,other,14
STUDENT76,F,other,services,11
STUDENT77,M,teacher,other,10
STUDENT78,M,teacher,other,10
STUDENT79,F,other,other,11
STUDENT80,M,other,other,10
STUDENT81,F,at_home,other,5
STUDENT82,M,other,services,12
STUDENT83,M,other,other,11
STUDENT84,F,services,other,6
STUDENT85,M,services,services,15
STUDENT86,F,other,other,10
STUDENT87,F,services,services,8
STUDENT88,F,at_home,other,6
STUDENT89,F,other,other,14
STUDENT90,M,services,other,10
STUDENT91,M,teacher,health,7
STUDENT92,F,other,other,8
STUDENT93,F,services,other,18
STUDENT94,F,other,other,6
STUDENT95,F,teacher,services,10
STUDENT96,M,services,health,14
STUDENT97,F,at_home,other,10
STUDENT98,M,services,other,15
STUDENT99,F,other,other,10
STUDENT100,F,other,other,14
STUDENT101,F,other,at_home,8
STUDENT102,M,services,services,5
STUDENT103,M,services,teacher,17
STUDENT104,M,services,other,14
STUDENT105,F,services,other,6
STUDENT106,M,services,other,18
STUDENT107,F,other,health,11
STUDENT108,F,other,other,8
STUDENT109,M,services,other,18
STUDENT110,M,other,other,13
STUDENT111,F,health,health,16
STUDENT112,M,teacher,teacher,19
STUDENT113,F,services,other,10
STUDENT114,F,at_home,other,13
STUDENT115,M,teacher,other,19
STUDENT116,M,health,services,9
STUDENT117,M,teacher,teacher,16
STUDENT118,M,other,teacher,14
STUDENT119,M,other,services,13
STUDENT120,M,other,other,8
STUDENT121,M,other,other,13
STUDENT122,F,at_home,services,15
STUDENT123,M,services,services,15
STUDENT124,F,other,health,13
STUDENT125,M,health,other,13
STUDENT126,F,other,other,8
STUDENT127,M,services,services,12
STUDENT128,F,other,other,11
STUDENT129,F,at_home,other,9
STUDENT130,M,services,other,0
STUDENT131,M,teacher,teacher,18
STUDENT132,F,services,teacher,0
STUDENT133,F,at_home,other,0
STUDENT134,F,other,other,12
STUDENT135,F,services,other,11
STUDENT136,M,at_home,teacher,0
STUDENT137,F,services,at_home,0
STUDENT138,M,at_home,other,0
STUDENT139,F,other,other,0
STUDENT140,M,services,other,12
STUDENT141,F,teacher,teacher,15
STUDENT142,M,teacher,services,0
STUDENT143,M,services,services,9
STUDENT144,F,teacher,services,11
STUDENT145,F,at_home,at_home,13
STUDENT146,M,other,other,0
STUDENT147,F,other,services,11
STUDENT148,F,health,services,0
STUDENT149,F,at_home,other,11
STUDENT150,M,teacher,teacher,0
STUDENT151,M,services,other,10
STUDENT152,M,other,other,0
STUDENT153,M,at_home,other,14
STUDENT154,F,services,services,10
STUDENT155,M,services,at_home,0
STUDENT156,F,other,teacher,12
STUDENT157,M,at_home,services,8
STUDENT158,M,other,other,13
STUDENT159,F,at_home,other,10
STUDENT160,M,at_home,other,15
STUDENT161,M,other,services,12
STUDENT162,M,at_home,other,0
STUDENT163,M,other,other,7
STUDENT164,M,other,other,0
STUDENT165,M,at_home,services,10
STUDENT166,M,other,services,7
STUDENT167,M,services,services,12
STUDENT168,M,other,other,10
